;Q;kA;td_log;ttd_u;ttd_l;pr1;pr2;zeta1;zeta2
superheater;-265.17419952099215;113.88399932823097;2.3284587921497195;0.7199999998484827;5.420397335392124;0.98;1.0;26510214.926276878;0.0
evaporator;-4066.825800479004;2432.3724760192613;1.6719584852130187;5.420397335392124;0.24536086429196757;0.98;0.9799292164867912;26046793.02005384;557388345.3909261
condenser;-5112.0;623.8970984693854;8.193658878269083;11.914361342625227;5.342255136428832;0.98;0.98;3041705038.3022695;53360224.39226668
