;Q;kA;td_log;ttd_u;ttd_l;pr1;pr2;zeta1;zeta2
evaporator;-169871.84479442806;20422.575943406693;8.317846155409704;12.853583046424546;5.000000000000057;0.99;1.0000000000000002;47366.263118325114;-2.7492345330635764e-08
superheater;-4838.324979402931;581.6800273766939;8.317846155425324;5.000000000022283;12.853583046424546;0.99;0.9899999999999998;47820.34779459703;501124.9069654346
intermittent cooling;-44870.99517354124;830.2793775166862;54.04324904196415;87.9740454235793;30.211393547477655;0.99;0.98;4384508.667334214;5074534.998842777
